por	pob
Feitas as unturas nestas juntas , se principiará no hombro , e espadoa do lado direito ; e dada nesta junta a untura , se passará ao cotovello , e logo ao pulso ; e quando este lado estiver untado , e cuberto , se passará ao esquerdo , principiando no hombro , e acabando no pulso ; e he muito preciso limpar algum unguento , que correr para as vertebras do espinhaço , por naõ offender a substancia medular , que nellas assiste .	Feitas as unturas nestas juntas, se principiará no ombro, e espádua do lado direito; e dada nesta junta a untura, se passará ao cotovelo, e logo ao pulso; e quando este lado estiver untado, e coberto, se passará ao esquerdo, principiando no ombro, e acabando no pulso; e é muito preciso limpar algum unguento, que correr para as vértebras do espinhaço, por não ofender a substância medular, que nelas assiste.
Porèm para que o Enfermeiro obre com acerto , he preciso reserve para o Medico eftas determinações .	Porém para que o Enfermeiro obre com acerto, é preciso reserve para o Médico estas determinações.
Devem pois os Medicos principiantes advertir , que naõ commettaõ hum erro taõ absurdo , como he sangrar a alguém estando com o estomago cheyo , ou com desejos de vomitar , ou tendo grandes amargores de boca ; porque os que em semelhantes termos sangrarem aos doentes sem os purgar primeiro quando os naõ matem , os exporáõ a grandes perigos.	Devem pois os Médicos principiantes advertir, que não cometam um erro tão absurdo, como é sangrar a alguém estando com o estômago cheio, ou com desejos de vomitar, ou tendo grandes amargores de boca; porque os que em semelhantes termos sangrarem aos doentes sem os purgar primeiro quando os não matem, os exporão a grandes perigos.
O segundo he lavar o sesso com agua cozida com rosas balaustias , murta , maçans de acipreste , & polvorizar a parte com os pòs dos escaravelhos ; tambem me consta que os sumos da pelle de huma cobra , tomados por hũ funil , naõ só fazem recolher o sesso , mas tambem  a madre , quãdo saem fora do seu lugar .	O segundo é lavar o sesso com água cozida com rosas balaústias, murta, maçãs de acipreste, e pulverizar a parte com os pós dos escaravelhos; também me consta que os sumos da pele de uma cobra, tomados por um funil, não só fazem recolher o sesso, mas também a madre, quando saem fora do seu lugar.
Se os doentes estiverem adormentados , ou somnolentos , poder-se-hiaõ mesmo applicar sobre todo o couro cabelludo , depois de o ter rapado , se se visse que elles tinhaõ huma especie de delirio surdo .	Se os doentes estiverem adormentados, ou sonolentos, poder-se-iam mesmo aplicar sobre todo o couro cabeludo, depois de o ter rapado, se se visse que eles tinham uma espécie de delírio surdo.
Os alimentos de má qualidade com que os Marinheiros se sustentaõ , a má agoa , que bebem , e muitas outras causas , que eu ja descrevi no Capitulo precedente , fazem esta especie de febre muito commua entre as Equipagens dos Navios Mercantes .	Os alimentos de má qualidade com que os Marinheiros se sustentam, a má água, que bebem, e muitas outras causas, que eu já descrevi no Capítulo precedente, fazem esta espécie de febre muito comum entre as Equipagens dos Navios Mercantes.
Elles saõ insensiveis a tudo , seu rosto , e seus olhos estaõ totalmente mudados ; elles sentem dentro de si mesmos , e muitas vezes por muitos dias seguidos , horripilações , o que significa , tremores interiores , quero dizer , tremores irregulares entre o couro , e a carne ; estes tremores saõ seguidos de algum calôr , em cujo tempo o estado do pulso naõ tem mudança notavel , que indique , ou mostre febre ; algumas vezes elles se queixaõ de hum pezo , e de huma grande dôr na cabeça , nos rins , e em outras partes do corpo ; muitas vezes elles naõ sentem especie alguma de dòr , mas estaõ moidos , e quebrantados , como se tivessem levado pancadas , tem seus desmaios por vezes .	Eles são insensíveis a tudo, seu rosto, e seus olhos estão totalmente mudados; eles sentem dentro de si mesmos, e muitas vezes por muitos dias seguidos, horripilações, o que significa, tremores interiores, quero dizer, tremores irregulares entre o couro, e a carne; estes tremores são seguidos de algum calor, em cujo tempo o estado do pulso não tem mudança notável, que indique, ou mostre febre; algumas vezes eles se queixam de um peso, e de uma grande dor na cabeça, nos rins, e em outras partes do corpo; muitas vezes eles não sentem espécie alguma de dor, mas estão moídos, e quebrantados, como se tivessem levado pancadas, tem seus desmaios por vezes.
CAPITULO LVIII .	CAPÍTULO LVIII.
O applicar-se sobre a cabeça certos animaes vivos abertos , taes como Gatos , Gallos , Pombos , tem sido reconhecido ao menos como inutil , e eu até mesmo me atrevo a assegurar , que isto faz mais mal , do que bem , aos doentes ; elles raras vezes recebem daqui consolaçaõ alguma ; porque se se deixaõ estes animaes por hum certo tempo sobre a cabeça , em lugar de attrahir a malignidade , como o vulgo pensa commummente , elles a augmentaõ , porque se estaõ ahi corrompendo ; o cheiro cadaverico , que exhalaõ , naõ he o veneno da doença , que elles tem attralido para fóra do corpo , antes he ao contrario huma verdadeira podridaõ , que elles tem adquirido pelo calor da parte , sobre que estavaõ applicados , e que teriaõ igualmente adquirido em qualquer outro lugar , que fosse taõ quente , e taõ humido , se os deixassem ficar nelle o mesmo espaço de tempo .	O aplicar-se sobre a cabeça certos animais vivos abertos, tais como Gatos, Galos, Pombos, tem sido reconhecido ao menos como inútil, e eu até mesmo me atrevo a assegurar, que isto faz mais mal, do que bem, aos doentes; eles raras vezes recebem daqui consolação alguma; porque se se deixam estes animais por um certo tempo sobre a cabeça, em lugar de atrair a malignidade, como o vulgo pensa comumente, eles a aumentam, porque se estão aí corrompendo; o cheiro cadavérico, que exalam, não é o veneno da doença, que eles tem atraído para fora do corpo, antes é ao contrário uma verdadeira podridão, que eles têm adquirido pelo calor da parte, sobre que estavam aplicados, e que teriam igualmente adquirido em qualquer outro lugar, que fosse tão quente, e tão úmido, se os deixassem ficar nele o mesmo espaço de tempo.
Para lhe raspar a lingua , lhe mandareis enxagoar a boca trez , ou quatro vezes com agoa fria , tendo-lhe deitado nella humas gotas de vinagre ; e depois de estar bem enxagoada , lhe raspareis a lingua com huma colher de metal , cuja diligencia lhe fareis duas vezes no dia , ou huma ao menos .	Para lhe raspar a língua, lhe mandareis enxaguar a boca três, ou quatro vezes com água fria, tendo-lhe deitado nela umas gotas de vinagre; e depois de estar bem enxaguada, lhe raspareis a língua com uma colher de metal, cuja diligência lhe fareis duas vezes no dia, ou uma ao menos.
Remedio quinto .	Remédio quinto.
Se a sangria for de pé , será feita fóra da cama , tendo o corpo inclinado para a parte da bacia ; advertindo ao Sangrador rompa bem a veya , que sendo pouco rasgada , naõ serve de proveito ao enfermo .	Se a sangria for de pé, será feita fora da cama, tendo o corpo inclinado para a parte da bacia; advertindo ao Sangrador rompa bem a veia, que sendo pouco rasgada, não serve de proveito ao enfermo.
Do Pleuriz .	Do Pleuris.
O quarto Author , que louva os pombos nos pès para remedio das doenças malignas , he Ricardo  Morton , o qual diz as seguintes palavras : Appliquemse nas plantas dos pès dous pombos escalados daquelle infante , & se repitao outros de tres em tres horas .	O quarto Autor, que louva os pombos nos pés para remédio das doenças malignas, é Ricardo Morton, o qual diz as seguintes palavras: Apliquem-se nas plantas dos pés dois pombos escalados daquele infante, e se repitam outros de três em três horas.
Finalmente para curar as almorreimas inchadas , ou dolorosas , naõ se achara em toda a Arte remedio mais certo , & seguro , do que o oleo de Vitriolo , misturado com agua cozida com folhas de congorça , ou marcavala .	Finalmente para curar as almorreimas inchadas, ou dolorosas, não se achara em toda a Arte remédio mais certo, e seguro, do que o óleo de Vitríolo, misturado com água cozida com folhas de congorsa, ou marcavala.
A Peripneumonia he huma inflammaçaõ do peito , e do bofe mui commua entre a Gente do mar ; a incostancia do ár , a passagem repentina do quente para o frio , o máo costume , em que esta Gente está de naõ mudar os seus vestidos , quando estaõ molhados , de se deitar a dormir neste estado exposta a todas as injurias do ar , &c .	A Peripneumonia é uma inflamação do peito, e do bofe muito comum entre a Gente do mar; a inconstância do ar, a passagem repentina do quente para o frio, o mau costume, em que esta Gente está de não mudar os seus vestidos, quando estão molhados, de se deitar a dormir neste estado exposta a todas as injúrias do ar, etc.
Depois de ter feito huma , ou duas sangrias , far-se-ha beber aos doentes em abundancia a primeira tisana do N.º 5 . ; dar-se-lhe-haõ algumas mezinhas , e algumas porções de huma oitava e meia de cremor de tartaro , que se fará ferver em hum vaso de agoa até que se derreta , ou que se misturará com hum pouco de mel .	Depois de ter feito uma, ou duas sangrias, far-se-á beber aos doentes em abundância a primeira tisana do N.º 5.; dar-se-lhe-ão algumas mesinhas, e algumas porções de uma oitava e meia de cremor de tártaro, que se fará ferver em um vaso de água até que se derreta, ou que se misturará com um pouco de mel.
A febre se vai augmentando de hum dia para outro ; os crescimentos se fazem mais fortes , mais compridos , mais irregulares ; o ventre dos doentes se faz duro , e tezo ; fallaõ dormindo ; seu pulso se faz pequeno , intermittente ; entraõ movimentos convulsivos , e morrem de oito até quatorze dias da doença .	A febre se vai aumentando de um dia para outro; os crescimentos se fazem mais fortes, mais compridos, mais irregulares; o ventre dos doentes se faz duro, e teso; falam dormindo; seu pulso se faz pequeno, intermitente; entram movimentos convulsivos, e morrem de oito até quatorze dias da doença.
O calôr brando , e moderado , que exhalaõ as entranhas destes animaes , naõ he capaz de attrahir o veneno , elle só póde , quando muito agitar o fluido nervoso entorpecido , e tornar a dar por hum instante o sentimento aos doentes , que começaõ a perde-lo : eis-aqui todo o bem , que podem produzir estas aplicações ; e para tirar dellas alguma pouca de utilidade , seria necessario naõ as deixar demorar muito tempo sobre a parte , com o medo de que estes animass naõ adquiraõ alguma podridaõ , que naõ pode deixar de ser nociva , salvo se se repetir a sua applicaçaõ muitissimas vezes .	O calor brando, e moderado, que exalam as entranhas destes animais, não é capaz de atrair o veneno, ele só pôde, quando muito agitar o fluido nervoso entorpecido, e tornar a dar por um instante o sentimento aos doentes, que começam a perdê-lo: eis-aqui todo o bem, que podem produzir estas aplicações; e para tirar delas alguma pouca de utilidade, seria necessário não as deixar demorar muito tempo sobre a parte, com o medo de que estes animais não adquiram alguma podridão, que não pode deixar de ser nociva, salvo se se repetir a sua aplicação muitíssimas vezes.
Em quanto o enfermo estiver no banho, ou esteja sentado , ou deitado , o naõ haveis de desamparar; porque succede muitas vezes ter hum desmayo , e corre perigo o enfermo dentro do banho; razaõ, porque he conveniente que o banho seja junto da cama, assim por este incidente, como porque acabado o tempo, que nelle houver de estar, se possa o enfermo logo metter nella depois de enxuto, tendo ao mesmo tempo as janellas fechadas, por estarem os poros abertos.	Enquanto o enfermo estiver no banho, ou esteja sentado, ou deitado, o não haveis de desamparar; porque sucede muitas vezes ter um desmaio, e corre perigo o enfermo dentro do banho; razão, porque é conveniente que o banho seja junto da cama, assim por este incidente, como porque acabado o tempo, que nele houver de estar, se possa o enfermo logo meter nela depois de enxuto, tendo ao mesmo tempo as janelas fechadas, por estarem os poros abertos.
OBSERVAÇAM XC	OBSERVAÇÃO XC
Ainda que a estes enfermos se lhes póde dar agoa mais largamente , do que em outras enfermidades , he preciso que o Enfermeiro premedite a idade , e temperança do enfermo , e o seu comer , que sendo pouco , naõ deve a agoa ser muita , porque lhe fará dano .	Ainda que a estes enfermos se lhes pode dar água mais largamente, do que em outras enfermidades, é preciso que o Enfermeiro premedite a idade, e temperança do enfermo, e o seu comer, que sendo pouco, não deve a água ser muita, porque lhe fará dano.
Destas Observações , & casos taõ maravilhosamente succedidos aprendaõ os Medicos principiantes as tres seguintes utilidades .	Destas Observações, e casos tão maravilhosamente sucedidos aprendam os Médicos principiantes as três seguintes utilidades.
Estando a purga preparada , mandareis sentar o enfermo em sima da cama , com as costas arrimadas na almofada , para que a cabeça lhe fique alta ; e dando a purga a beber ao enfermo , seja por hum copo de vidro escuro , ou por hum pucaro de barro .	Estando a purga preparada, mandareis sentar o enfermo em cima da cama, com as costas arrimadas na almofada, para que a cabeça lhe fique alta; e dando a purga a beber ao enfermo, seja por um copo de vidro escuro, ou por um púcaro de barro.
O dito oleo de Vitriolo he admiravel remedio para naõ tornar a sahir o sesso , com tal condiçaõ , que se misture com huma pouca de agua de tanchagem , & se chapeje o sesso muitas vezes com o tal licor .	O dito óleo de Vitríolo é admirável remédio para não tornar a sair o sesso, com tal condição, que se misture com uma pouca de água de tanchagem, e se chapeje o sesso muitas vezes com o tal licor.
Algumas vezes ella vem de repente , e começa por hum tremor , qae dura mais , ou menos tempo, que passa , torna a vir , ou que os doentes naõ sentem senaõ interiormente .	Algumas vezes ela vem de repente, e começa por um tremor, que dura mais, ou menos tempo, que passa, torna a vir, ou que os doentes não sentem senão interiormente.
Naõ menos com as sangrias feitas muito antes da declinaçaõ do crescimento .	Não menos com as sangrias feitas muito antes da declinação do crescimento.
Attendendo a tudo aquillo , que eu tenho dito a respeito das febres malignas , será facil , penso eu , distigui-las das outras febres continuas .	Atendendo a tudo aquilo, que eu tenho dito a respeito das febres malignas, será fácil, penso eu, distingui-las das outras febres contínuas.
elles tem hum bafo quente , todo o corpo ardente , huma tosse secca , e dolorosa , e agonias do coraçaõ , escarraõ com trabalho , e os poucos escarros , que sahem , saõ sanguinolentos , e muitas vezes escarraõ sangue puro ; queixaõ-se de huma grande dôr de cabeça , seu rosto he vermelho , e inflammado , ou abrazado ; ás vezes he pallido ; e entaõ tem os doentes hum ar taciturno , triste , e consternado ; o que he de máo agouro nesta doença .	Eles têm um bafo quente, todo o corpo ardente, uma tosse seca, e dolorosa, e agonias do coração, escarram com trabalho, e os poucos escarros, que saem, são sanguinolentos, e muitas vezes escarram sangue puro; queixam-se de uma grande dor de cabeça, seu rosto é vermelho, e inflamado, ou abrasado; às vezes é pálido; e então tem os doentes um ar taciturno, triste, e consternado; o que é de mau agouro nesta doença.
Tomará o doente quatro porções destes põs no espaço do dia metendo huma hora , ou huma hora e meia de intervallo entre cada porçaõ , até que se moderem todos estes symptomas , e que o ventre se ponha bastantemente amollecido , para poder dar o purgante do N. 14.	Tomará o doente quatro porções destes pôs no espaço do dia metendo uma hora, ou uma hora e meia de intervalo entre cada porção, até que se moderem todos estes sintomas, e que o ventre se ponha bastantemente amolecido, para poder dar o purgante do N. 14.
Neste caso fiquei muito duvidoso sobre a resoluçaõ do que avia de obrar ; porque para purgallo , ( que era o que convinha ) era já tarde , & naõ avia forças ; para sangrallo mais , era acrescentar erro a erro , pois as muitas sangrias lhe tinhaõ feito tanto damno lançarlhe sanguisugas , ( àlem de que eraõ pequeno remédio para tão grande mal ) não estavaõ indicadas da doença , pois a causa della estava no estomago , & já pecava mais em qualidade venenosa occulta , do que em podridaõ manifesta dos humores ; nesta angustia naõ restava outra esperança mais que rebater , & fixar a má qualidade da febre com algum remedio bezoartico , que lentamente fosse tambem purgando algum humor , em que a tal venenosa qualidade se ateava ; & como estas duas virtudes juntas se achem so no meu Cordeal Bezoartico , puz nelle toda a esperança temporal , fiado nas muitas , & mui prodigiosas curas , que com o tal Bezoartico tinha feito , & assim lho receitei na forma seguinte.	Neste caso fiquei muito duvidoso sobre a resolução do que havia de obrar; porque para purgá-lo, (que era o que convinha) era já tarde, e não havia forças; para sangrá-lo mais, era acrescentar erro a erro, pois as muitas sangrias lhe tinham feito tanto dano lançar-lhe sanguessugas, (além de que eram pequeno remédio para tão grande mal) não estavam indicadas da doença, pois a causa dela estava no estômago, e já pecava mais em qualidade venenosa oculta, do que em podridão manifesta dos humores; nesta angústia não restava outra esperança mais que rebater, e fixar a má qualidade da febre com algum remédio bezoártico, que lentamente fosse também purgando algum humor, em que a tal venenosa qualidade se ateava; e como estas duas virtudes juntas se achem só no meu Cordial Bezoártico, pus nele toda a esperança temporal, fiado nas muitas, e muito prodigiosas curas, que com o tal Bezoártico tinha feito, e assim lho receitei na forma seguinte.
Remedio primeiro .	Remédio primeiro.
Logo se atará hum pano grosso em hum páo por fórma de bandeira , molhado em agoa , e vinagre rosado , e com o tal instrumento estará huma pessoa abanando o enfermo continuamente da cabeça atè aos pés ; e o melhor he com hum chapeo velho , molhado no mesmo , para que o ar seja mais violento , que he o mais conveniente .	Logo se atará um pano grosso em um pão por forma de bandeira, molhado em água, e vinagre rosado, e com o tal instrumento estará uma pessoa abanando o enfermo continuamente da cabeça até aos pés; e o melhor é com um chapéu velho, molhado no mesmo, para que o ar seja mais violento, que é o mais conveniente.
Se depois das sangrias , por exemplo , os doentes ainda que se achem ja melhor , com tudo-se se ficarem ainda queixando de grandes dôres de cabeça ; se tiverem os olhos vivos , e reluzentes , o nariz , e as maçãas do rosto de hum vermelho resplandecente , este symptoma pelo ordinario annuncia huma hemorrhagia de nariz : muito mais , se a maçã do rosto da parte da venta , por onde se deve fazer esta evacuaçaõ , estiver mais vermelha , do que a que lhe he opposta ; se ellas estiverem igualmente vermelhas , entaõ sahe o sangue por ambas as ventas : o pulso neste estado he duro , e dicroto , isto he , que bate duas vezes em huma mesma pulsaçaõ .	Se depois das sangrias, por exemplo, os doentes ainda que se achem já melhor, com tudo se se ficarem ainda queixando de grandes dores de cabeça; se tiverem os olhos vivos, e reluzentes, o nariz, e as maçãs do rosto de um vermelho resplandecente, este sintoma pelo ordinário anuncia uma hemorragia de nariz: muito mais, se a maçã do rosto da parte da venta, por onde se deve fazer esta evacuação, estiver mais vermelha, do que a que lhe é oposta; se elas estiverem igualmente vermelhas, então sai o sangue por ambas as ventas: o pulso neste estado é duro, e dícroto, isto é, que bate duas vezes em uma mesma pulsação.
Dando ao enfermo cordial de tarde , he mais conveniente depois da sangria , e das ventosas , o qual sempre se ha de dar frio .	Dando ao enfermo cordial de tarde, é mais conveniente depois da sangria, e das ventosas, o qual sempre se há de dar frio.
Se o banho for nos braços , ou nas mãos , observareis a mesma regra , que nos semicupios.	Se o banho for nos braços, ou nas mãos, observareis a mesma regra, que nos semicúpios.
3. Porèm como o doente escolhesse para se curar a hum Medico , que sangraria aos defuntos depois de enterrados , quiz este a torto , & a direito , ( sem  attender a outra razaõ mais que porque achou febre ) tirar sangue , ( em que a doença não pecava , ) & por nenhum modo quiz darlhe hum vomitorio , ou alguma das sobreditas purgas , para despejar do estomago os humores , em que se radicava a enfermidade ; porque se persuadio o tal Medico que os desejos de vomitar , os amargores da boca , o grande fastio , as ancias , & as mais queixas que o doente padecia , procediaõ de enchimento das veas ; & fundado nesta falsa conjectura , julgou que as sangrias se deviaõ antepor aos vomitorios , & purgas alviducas , & por isso mandou sangrar vinte vezes ao desgraçado enfermo ; mas taõ infelizmente , que quanto mais sangue lhe tirava , tanto em mayores ancias , & mais ardentes febres o metia: multiplicavaõse os vomitos, cresciaõ as frialdades dos extremos, perturbavaõse os sentidos , embaraçavase a língua, ourinava sem sentirse ; & sobre todas estas miserias , erão tam grandes , & taõ repetidos os soluços, que moviaõ compaixaõ nos corações mais penhascosos.	3. Porém como o doente escolhesse para se curar a um Médico, que sangraria aos defuntos depois de enterrados, quis este a torto, e a direito, (sem atender a outra razão mais que porque achou febre) tirar sangue, (em que a doença não pecava,) e por nenhum modo quis dar-lhe um vomitório, ou alguma das sobreditas purgas, para despejar do estômago os humores, em que se radicava a enfermidade; porque se persuadiu o tal Médico que os desejos de vomitar, os amargores da boca, o grande fastio, as ânsias, e as mais queixas que o doente padecia, procediam de enchimento das veias; e fundado nesta falsa conjectura, julgou que as sangrias se deviam antepor aos vomitórios, e purgas alviducas, e por isso mandou sangrar vinte vezes ao desgraçado enfermo; mas tão infelizmente, que quanto mais sangue lhe tirava, tanto em maiores ânsias, e mais ardentes febres o metia: multiplicavam-se os vômitos, cresciam as frialdades dos extremos, perturbavam-se os sentidos, embaraçava-se a língua, urinava sem sentir-se; e sobre todas estas misérias, eram tão grandes, e tão repetidos os soluços, que moviam compaixão nos corações mais penhascosos.
O quinto Author que louva os pombos para rebater os vapores malignos , he Schrodero , dizendo :  Hum pombo vivo partido pelo meyo , & atado nas solas dos pès enquanto está quente , he remedio convenientissimo para aplacar os frenesís, & dores de cabeça .	O quinto Autor que louva os pombos para rebater os vapores malignos, é Schrodero, dizendo: Um pombo vivo partido pelo meio, e atado nas solas dos pés enquanto está quente, é remédio convenientíssimo para aplacar os frenesis, e dores de cabeça.
Assim deve ser muito grande o cuidado , que deve ter o Enfermeiro com estes enfermos , refrescando-lhes a boca , e raspando-lhes a lingua .	Assim deve ser muito grande o cuidado, que deve ter o Enfermeiro com estes enfermos, refrescando-lhes a boca, e raspando-lhes a língua.
O melhor meio , que eu posso indicar aos Marinheiros para se preservarem de febres podres , e remittentes , he o evitar todos os excessos no beber , e no comer , abster-se de fructos , que naõ saõ maduros , ou que saõ pouco sadios ; taes como a maior parte daquelles , que se achaõ em abundancia em certos paizes pantanosos , aonde elles aportaõ ; fugiraõ sobre tudo de os naõ colher , nem comer pela manhã,  quando elles se achaõ ainda molhados pelo orvalho , nem quando estaõ quentes por terem estado ao sol por muito tempo ; o verdadeiro tempo de os colher he huma hora , quando muito , depois de nascer o sol ; abster-se-haõ tambem de todo o outro sustento , que fôr capaz de gerar corrupções no estomago , principalmente no tempo dos grandes calores do Veraõ , tempo em que os melhores estomagos digerem mui difficultosamente .	O melhor meio, que eu posso indicar aos Marinheiros para se preservarem de febres podres, e remitentes, é o evitar todos os excessos no beber, e no comer, abster-se de frutos, que não são maduros, ou que são pouco sadios; tais como a maior parte daqueles, que se acham em abundância em certos países pantanosos, aonde eles aportam; fugiram sobre tudo de os não colher, nem comer pela manhã, quando eles se acham ainda molhados pelo orvalho, nem quando estão quentes por terem estado ao sol por muito tempo; o verdadeiro tempo de os colher é uma hora, quando muito, depois de nascer o sol; abster-se-ão também de todo o outro sustento, que for capaz de gerar corrupções no estômago, principalmente no tempo dos grandes calores do Verão, tempo em que os melhores estômagos digerem muito dificultosamente.
Neste lugar me perguntaraõ os curiosos , que razaõ tive para naõ dar a este enfermo agua nevada , sendo eu o mayor , e mais incansavel pregoeiro dos seus louvores para extinguir semelhantes febres , mayormente em hum homem moço , robusto , & em tempo dos caniculares , em cujas circunstancias Galeno ( 1 . ) manda dar agua fria com toda a confiança : & Hippocrates ( 3 . ) faz tanta estimaçaõ das cousas frias para extinguir as febres , que até as purgas manda dar serenadas , salvo o doente estiver com camaras : & porque razaõ naõ lhe mandei untar as costas com çumo de abobora , & agraço , applicando-os eu a outros muitos febricitantes : & para quando guardei as camas de folhas de golfaõ , de sabugueiro , ou de alface , de que eu muito uso : finalmente porque me naõ vali de deitar ao doente , duas horas no dia , em hũ colchaõ de odres cheyos de agua fria de cisterna , como já fiz a huma filha de Joaõ de Barros , ourives da prata , & a huma netinha de Pedralves Cabral de Lacerda , a hum filho de Pedro de Araujo , & a outros doentes , que ardendo em incendios de fogo , sem que algum remedio os pudesse apagar , só com os deitar nos colchões de agua de cisterna os curei felizmente .	Neste lugar me perguntaram os curiosos, que razão tive para não dar a este enfermo água nevada, sendo eu o maior, e mais incansável pregoeiro dos seus louvores para extinguir semelhantes febres, maiormente em um homem moço, robusto, e em tempo dos caniculares, em cujas circunstâncias Galeno (1. ) manda dar água fria com toda a confiança: e Hipócrates (3. ) faz tanta estimação das coisas frias para extinguir as febres, que até as purgas manda dar serenadas, salvo o doente estiver com câmaras: e porque razão não lhe mandei untar as costas com sumo de abóbora, e agraço, aplicando-os eu a outros muitos febricitantes: e para quando guardei as camas de folhas de golfão, de sabugueiro, ou de alface, de que eu muito uso: finalmente porque me não vali de deitar ao doente, duas horas no dia, em um colchão de odres cheios de água fria de cisterna, como já fiz a uma filha de João de Barros, ourives da prata, e a uma netinha de Pedralves Cabral de Lacerda, a um filho de Pedro de Araujo, e a outros doentes, que ardendo em incêndios de fogo, sem que algum remédio os pudesse apagar, só com os deitar nos colchões de água de cisterna os curei felizmente.
O unguento , que o Cirurgiaõ determinar , se ha de dividir em doze partes , cada huma em seu papel , para as doze juntas , que se costumaõ untar , reservando para as mayores juntas as mayores porções do unguento .	O unguento, que o Cirurgião determinar, se há de dividir em doze partes, cada uma em seu papel, para as doze juntas, que se costumam untar, reservando para as maiores juntas as maiores porções do unguento.
A estes taes enfermos he muito preciso que o Enfermeiro duplique o cuidado , para lhe evitar logo o suor , naõ deixando dormir o enfermo , e fazendo-o mudar , e voltar na cama de huma para outra parte , e aliviallo da roupa , de fórma , que lhe fique muy pouca .	A estes tais enfermos é muito preciso que o Enfermeiro duplique o cuidado, para lhe evitar logo o suor, não deixando dormir o enfermo, e fazendo-o mudar, e voltar na cama de uma para outra parte, e aliviá-lo da roupa, de forma, que lhe fique muito pouca.
He demonstrado ja , que os verdadeiros bezoarticos saõ inuteis para a cura das febres malignas , e pestilenciaes ; que se pode esperar pois daquelles que se nos trazem debaixo deste nome , que naõ saõ senaõ huma composiçaõ artificial , aonde entra o almiscar , e o ambar , em huma palavra a obra dos miseraveis Judeos , que os vendem muito caro aos ignorantes .	É demonstrado já, que os verdadeiros bezoárticos são inúteis para a cura das febres malignas, e pestilenciais; que se pode esperar pois daqueles que se nos trazem debaixo deste nome, que não são senão uma composição artificial, aonde entra o almíscar, e o âmbar, em uma palavra a obra dos miseráveis Judeus, que os vendem muito caro aos ignorantes.
7 . A terceira utilidade que eu quero que os Medicos novatos aprendaõ , he, que ainda que o meu Bezoartico se possa misturar com remedios purgativos , como eu o misturo cada dia ; & a quinaquina se possa misturar com o Bezoartico , como eu muitas vezes o faço ; comtudo a quinaquina naõ se pode misturar com os remedios purgativos , nem dar juntos , salvo quando os doentes estiverem em taõ grande aperto , que necessitem de tomar a quinaquina , & de purgarse , & não aja tempo para dar estes remedios apartados ; neste caso se póde a quinaquina misturar com o meu cordeal purgativo ; porque , como diz Celso , ( 4 . ) Nos casos desesperados fazem os Medicos muitas cousas, que naõ aviaõ de fazer , se o perigo naõ fosse grande .	7. A terceira utilidade que eu quero que os Médicos novatos aprendam, é, que ainda que o meu Bezoártico se possa misturar com remédios purgativos, como eu o misturo cada dia; e a quinaquina se possa misturar com o Bezoártico, como eu muitas vezes o faço; contudo a quinaquina não se pode misturar com os remédios purgativos, nem dar juntos, salvo quando os doentes estiverem em tão grande aperto, que necessitem de tomar a quinaquina, e de purgar-se, e não haja tempo para dar estes remédios apartados; neste caso se pode a quinaquina misturar com o meu cordial purgativo; porque, como diz Celso, (4. ) Nos casos desesperados fazem os Médicos muitas coisas, que não haviam de fazer, se o perigo não fosse grande.
Estes enfermos se naõ devem sangrar sem estarem livres dos crescimentos , ou ao menos na declinaçaõ delles ; que a forma de se conhecer quando está declinado o crescimento , vay declarada no Capitulo quarenta e trez .	Estes enfermos se não devem sangrar sem estarem livres dos crescimentos, ou ao menos na declinação deles; que a forma de se conhecer quando está declinado o crescimento, vai declarada no Capítulo quarenta e três.
Advertencia muito importante para quando o Medico manda fazer a hum enfermo muitos remedios juntos , qual deve ser o primeiro .	Advertência muito importante para quando o Médico manda fazer a um enfermo muitos remédios juntos, qual deve ser o primeiro.
Esta chega-se a reconhecer em que pelo quarto , ou o mais tardar pelo quinto dia , começaõ os crescimentos de tarde a ser menos violentos , a tosse , e a oppressaõ se diminuem , a respiraçaõ he menos dificultosa , a cabeça mais desembaraçada ; os escarros mais grossos , mais abundantes , menos sanguinolentos , sahem com mais facilidade , e começaõ a assimilhar-se aos  que se escarraõ no catarrho ordinario , quando elle começa a estar maduro , ou cozido .	Esta cega-se a reconhecer em que pelo quarto, ou o mais tardar pelo quinto dia, começam os crescimentos de tarde a ser menos violentos, a tosse, e a opressão se diminuem, a respiração é menos dificultosa, a cabeça mais desembaraçada; os escarros mais grossos, mais abundantes, menos sanguinolentos, saem com mais facilidade, e começam a assimilar-se aos que se escarram no catarro ordinário, quando ele começa a estar maduro, ou cozido.
Para estes enfermos naõ he proveitosa a pedra bazar .	Para estes enfermos não é proveitosa a pedra bazar.
Antes de dar estes laxantes se se suspeitar , que o estomago naõ está ainda assás evacuado , o que se conhece pelo máo sabor de bocca , pelos desejos de vomitar , que sempre continuaõ , e principalmente pelo pouco effeito , que tiver produzido o primeiro vomitorio , entaõ he precizo repeti-lo .	Antes de dar estes laxantes se se suspeitar, que o estômago não está ainda assaz evacuado, o que se conhece pelo mau sabor de boca, pelos desejos de vomitar, que sempre continuam, e principalmente pelo pouco efeito, que tiver produzido o primeiro vomitório, então é preciso repeti-lo.
